,id,latitude,longitude,price,area,floor,floors_total,link,address_clean
264,323390670,55.735991,37.70602,45000,20.5,1,2,https://www.cian.ru/rent/commercial/323390670/,"Москва, ЮВАО, р-н Нижегородский, м. Калитники, Смирновская улица, 2С1"
265,322008417,55.733822,37.738764,550000,160.0,1,24,https://www.cian.ru/rent/commercial/322008417/,"Москва, ЮВАО, р-н Нижегородский, м. Нижегородская, Перовское шоссе, 2к1"
266,304629141,55.858584,37.659847,60000,25.0,1,21,https://www.cian.ru/rent/commercial/304629141/,"Москва, СВАО, р-н Бабушкинский, м. Свиблово, Енисейская улица, 5"
267,323158390,55.979717,37.162692,88000,55.0,1,6,https://www.cian.ru/rent/commercial/323158390/,"Москва, ЗелАО, р-н Крюково, м. Зеленоград — Крюково, Зеленоград, мкр. 18-й, к1805"
268,323387913,55.555,37.467221,20900,19.0,1,17,https://www.cian.ru/rent/commercial/323387913/,"Москва, НАО (Новомосковский), м. Новомосковская, Сосенское поселение, улица Василия Ощепкова, 6"
269,313696648,55.752474,37.453244,300000,61.4,1,8,https://www.cian.ru/rent/commercial/313696648/,"Москва, СЗАО, р-н Хорошево-Мневники, м. Терехово , улица Нижние Мневники, 9"
270,321659034,55.970766,37.166367,2500,37.0,1,17,https://www.cian.ru/rent/commercial/321659034/,"Москва, ЗелАО, р-н Крюково, м. Зеленоград — Крюково, Зеленоград, мкр. 20-й, к2019"
271,315809095,55.744931,37.455193,350000,39.4,1,21,https://www.cian.ru/rent/commercial/315809095/,"Москва, СЗАО, р-н Хорошево-Мневники, м. Терехово , улица Нижние Мневники, 10"
272,322780760,55.674519,37.504591,52500,10.1,1,2,https://www.cian.ru/rent/commercial/322780760/,"Москва, ЗАО, р-н Проспект Вернадского, м. Проспект Вернадского, проспект Вернадского, 41С3"
273,323037392,55.782339,37.702158,52000,23.7,1,3,https://www.cian.ru/rent/commercial/323037392/,"Москва, ВАО, р-н Соколиная гора, м. Электрозаводская, Большая Семеновская улица, 10С13"
274,299710207,55.564516,37.487047,150000,81.0,1,15,https://www.cian.ru/rent/commercial/299710207/,"Москва, НАО (Новомосковский), м. Потапово, Сосенское поселение, пос. Коммунарка, улица Александры Монаховой, 43к1"
